Timestamp,"Domisili saat ini (kota, provinsi)","Domisili saat ini (kota, provinsi)",Apakah kamu seorang laki-laki atau perempuan?,Umur kamu berapa saat ini?,"Adakah komunitas JavaScript di sekitar tempat tinggal kamu? Jika ada, boleh disebutkan nama komunitasnya apa saja. Boleh meetup, telegram grup, WhatsApp, FB group dan sebagainya",Kegiatan saat ini,,Kamu sedang tertarik belajar tentang framework apa?,Media terbaik buat kamu untuk belajar pemrograman?,Pengalaman kerja,Bagaimana biasanya kamu belajar sebuah teknologi atau framework?,Saat ini menggunakan framework apa?,Bagaimana pendapatmu tentang framework tersebut? (Kelebihan dan kekurangan),Saat ini sedang tertarik belajar framework apa?,Pertimbangan utama memilih sebuah teknologi?,Gaji saat ini berkisar antara...,Perusahaan kamu saat ini memiliki...,"Saat mencari talenta, biasanya banyak merekrut dari mana?",Apakah tim development sudah menggunakan testing dalam proses development,Alat bantu testing yang digunakan
10/7/2019 18:15:17,"Badung, Bali","Badung, Bali",Laki-laki,24,BaliJS https://t.me/balijs,Fullstack,Fullstack,,,2-5 tahun,Dari tutorial,jQuery,Banyak library yang masih memerlukan bantuan JQuery.,Svelte,Developer friendly,0-5 juta per bulan,20-50 orang,Referal dari rekan,Belum,
10/7/2019 18:25:30,Malang,Malang,Laki-laki,22,Banyak,Baru lulus kuliah,kuliah,React,Artikel atau blog,,,,,,,,,,,
10/7/2019 19:10:48,"Kab. Probolinggo, Jawa Timur","Kab. Probolinggo, Jawa Timur",Laki-laki,30,Probolinggo dev,Frontend,Frontend,,,2-5 tahun,Dari dokumentasi resmi,Vue,Mudah digunakan namun untuk sisi mobile kurang bagus,React,Developer friendly,0-5 juta per bulan,Diatas 1000 orang,"Kader, mahasiswa lulusan internal",Kadang-kadang,Mocha
10/7/2019 19:28:13,Bandung,Bandung,Laki-laki,22,"FreeCodeCamp Bandung, bandung js",Sedang Kuliah,kuliah,Vue,Video,,,,,,,,,,,
10/7/2019 19:38:44,Padang,Padang,Laki-laki,29,Ada.  Minangjs,It manager,"Lead, VP, C Level",Angular,Video,,,,,,,,,,,
10/7/2019 20:33:06,Jakarta,Jakarta,Laki-laki,24,Belum bergabung,Frontend,Frontend,,,Dibawah 1 tahun,"Dari contoh aplikasi, example code ataupun boilerplate",jQuery,"Mudah dipahami, banyak dokumentasi dan banyak QnA yang terjawab",React,"User friendly (cepat, ringan, kecil)",0-5 juta per bulan,50-100 orang,"Situs pencari kerja seperti urbanhire, jobsdb, dll",Belum,
10/7/2019 21:05:05,Jakarta Timur,Jakarta Timur,Laki-laki,24,Tidak Tahu,Frontend,Frontend,,,1-2 tahun,Langsung membuat proyek-proyek sederhana,jQuery,Masih kurang dalam performance,Vue,Yang populer atau paling banyak digunakan,0-5 juta per bulan,100-1000 orang,Referal dari rekan,Belum,
10/7/2019 21:25:09,Yogyakarta,Yogyakarta,Laki-laki,19,JogjaJS,Sedang Kuliah,kuliah,"jQuery, React",Artikel atau blog,,,,,,,,,,,
10/7/2019 21:44:38,"Kota Semarang, Jawa Tengah","Kota Semarang, Jawa Tengah",Laki-laki,18,Belum,Sedang Kuliah,kuliah,React,Video,,,,,,,,,,,
10/7/2019 21:50:24,Jakarta,Jakarta,Laki-laki,29,JakartaJS,Team Lead Developer,"Lead, VP, C Level",,,5-10 tahun,Langsung membuat proyek-proyek sederhana,React,"So far so good, tapi memang beberapa part butuh advance knowledge untuk fundamental JavaScript nya",Svelte,Developer friendly,30-50 juta per bulan,Diatas 1000 orang,Referal dari rekan,Kadang-kadang,Jest
10/7/2019 23:10:33,Yogyakarta,Yogyakarta,Laki-laki,24,JogjaJS,Fullstack,Fullstack,,,2-5 tahun,Dari dokumentasi resmi,Vue,"Kelebihan learning curve enak dan bertahap, dari basic sampai advance jelas. Dokumentasinya juga sangat mendukung dan super clear.

Kekurangan belum menemukan sejauh ini.",Svelte,Developer friendly,5-10 juta per bulan,1-5 orang,Referal dari rekan,Kadang-kadang,Jest
10/7/2019 23:16:15,"Bandung, Jawa Barat ","Bandung, Jawa Barat ",Laki-laki,22,BandungJS,Team Lead Developer,"Lead, VP, C Level",,,2-5 tahun,Langsung mencoba menggunakan,React,-,Svelte,Yang populer atau paling banyak digunakan,5-10 juta per bulan,20-50 orang,Referal dari rekan,"Sudah, tapi belum semua",Jest
10/7/2019 23:22:41,mataram,mataram,Laki-laki,23,https://t.me/lombokjs,Sedang Kuliah,kuliah,"React, Svelte, Vue",Video,,,,,,,,,,,
10/8/2019 1:16:53,"Purwokerto, Jawa Tengah ","Purwokerto, Jawa Tengah ",Laki-laki,22,Tidak ada,Sedang Kuliah,kuliah,"React, Vue",Video,,,,,,,,,,,
10/8/2019 5:45:42,Jakarta Selatan,Jakarta Selatan,Laki-laki,24,Jakarta JS,Frontend,Frontend,,,1-2 tahun,Dari tutorial,Ember,"Kelebihan - Full Framework
Kekurangan - Template Engine Handlebars",Angular,Yang sudah mature,0-5 juta per bulan,20-50 orang,Headhunter,Belum,
